Rank,pop2019,GrowthRate,area,Density
1,1433783.686,1.0039,9706961.0,147.7068
2,1366417.754,1.0099,3287590.0,415.629
3,329064.917,1.0059,9372610.0,35.1092
4,270625.568,1.0107,1904569.0,142.0928
5,216565.318,1.02,881912.0,245.5634
6,211049.527,1.0072,8515767.0,24.7834
7,200963.599,1.0258,923768.0,217.5477
8,163046.161,1.0101,147570.0,1104.8734
9,145872.256,1.0004,17098242.0,8.5314
10,127575.529,1.0106,1964375.0,64.9446
11,126860.301,0.997,377930.0,335.6714
12,112078.73,1.0257,1104300.0,101.493
13,108116.615,1.0135,342353.0,315.8045
14,100388.073,1.0194,1002450.0,100.1427
15,96462.106,1.0091,331212.0,291.2398
16,86790.567,1.0319,2344858.0,37.0131
17,83517.045,1.0032,357114.0,233.8666
18,83429.615,1.0109,783562.0,106.4748
19,82913.906,1.013,1648195.0,50.3059
20,69625.582,1.0025,513120.0,135.6906
21,67530.172,1.0053,242900.0,278.0164
22,65129.728,1.0022,551695.0,118.0539
23,60550.075,0.9985,301336.0,200.9387
24,58558.27,1.0128,1221037.0,47.9578
25,58005.463,1.0298,945087.0,61.3758
26,54045.42,1.0067,676578.0,79.8805
27,52573.973,1.0228,580367.0,90.5875
28,51225.308,1.0009,100210.0,511.1796
29,50339.443,1.0108,1141748.0,44.0898
30,46736.776,1.0004,505992.0,92.3666
31,44780.677,1.0093,2780400.0,16.1058
32,44269.594,1.0332,241550.0,183.273
33,43993.638,0.9941,603500.0,72.8975
34,43053.054,1.0185,2381741.0,18.0763
35,42813.238,1.0242,1886068.0,22.6997
36,39309.783,1.0232,438317.0,89.6835
37,38041.754,1.0233,652230.0,58.3257
38,37887.768,0.9989,312679.0,121.1715
39,37411.047,1.0089,9984670.0,3.7468
40,36471.769,1.012,446550.0,81.6745
41,34268.528,1.0159,2149690.0,15.9411
42,32981.716,1.0148,447400.0,73.7186
43,32510.453,1.0142,1285216.0,25.2957
44,31949.777,1.013,330803.0,96.5825
45,31825.295,1.0327,1246700.0,25.5276
46,30417.856,1.0215,238533.0,127.5205
47,30366.036,1.0293,801590.0,37.8823
48,29161.922,1.0228,527968.0,55.2343
49,28608.71,1.0185,147181.0,194.3777
50,28515.829,0.9972,916445.0,31.1157
51,26969.307,1.0268,587041.0,45.9411
52,25876.38,1.0259,475442.0,54.4259
53,25716.544,1.0257,322463.0,79.7504
54,25666.161,1.0044,120538.0,212.93
55,25203.198,1.0118,7692024.0,3.2765
56,23773.876,1.0018,36193.0,656.8639
57,23310.715,1.0384,1267000.0,18.3984
58,21323.733,1.0042,65610.0,325.0074
59,20321.378,1.0286,272967.0,74.4463
60,19658.031,1.0302,1240192.0,15.8508
61,19364.557,0.9934,238391.0,81.2302
62,18952.038,1.0087,756102.0,25.0655
63,18628.747,1.0269,118484.0,157.2258
64,18551.427,1.0121,2724900.0,6.8081
65,17861.03,1.0293,752612.0,23.7321
66,17581.472,1.019,108889.0,161.4623
67,17373.662,1.0155,276841.0,62.7568
68,17097.13,1.0022,41850.0,408.5336
69,17070.135,1.0252,185180.0,92.1813
70,16486.542,1.0141,181035.0,91.0683
71,16296.364,1.0275,196722.0,82.8396
72,15946.876,1.03,1284000.0,12.4197
73,15442.905,1.0292,637657.0,24.2182
74,14645.468,1.0148,390757.0,37.4797
75,12771.246,1.0283,245857.0,51.9458
76,12626.95,1.0258,26338.0,479.4195
77,11801.151,1.0273,112622.0,104.7855
78,11694.719,1.0106,163610.0,71.4792
79,11539.328,1.0044,30528.0,377.9916
80,11530.58,1.0312,27834.0,414.2624
81,11513.1,1.0139,1098581.0,10.48
82,11333.483,0.9994,109884.0,103.1404
83,11263.077,1.0124,27750.0,405.8766
84,11062.113,1.0119,619745.0,17.8495
85,10738.958,1.0101,48671.0,220.6439
86,10689.209,1.0018,78865.0,135.5381
87,10473.455,0.9952,131990.0,79.3504
88,10226.187,0.9971,92090.0,111.0456
89,10101.694,1.01,89342.0,113.0677
90,10047.718,1.0091,86600.0,116.0245
91,10036.379,1.0063,450295.0,22.2885
92,9770.529,1.0123,83600.0,116.8724
93,9746.117,1.0163,112492.0,86.6383
94,9684.679,0.9975,93028.0,104.105
95,9452.411,0.9997,207600.0,45.5318
96,9321.018,1.0232,143100.0,65.1364
97,8955.102,1.0057,83871.0,106.7723
98,8776.109,1.0195,462840.0,18.9614
99,8772.235,0.996,88361.0,99.2772
100,8591.365,1.0074,41284.0,208.104
101,8519.377,1.016,20770.0,410.177
102,8082.366,1.0243,56785.0,142.3328
103,7813.215,1.021,71740.0,108.9102
104,7436.154,1.0082,1104.0,6735.6467
105,7169.455,1.0148,236800.0,30.2764
106,7044.636,1.0125,406752.0,17.3192
107,7000.119,0.9926,110879.0,63.133
108,6855.713,0.9956,10452.0,655.9236
109,6777.452,1.0138,1759540.0,3.8518
110,6545.502,1.0121,130373.0,50.206
111,6453.553,1.0051,21041.0,306.7132
112,6415.85,1.0169,199951.0,32.0871
113,5942.089,1.015,488100.0,12.1739
114,5804.337,1.0079,710.0,8175.1225
115,5771.876,1.0035,43094.0,133.9369
116,5532.156,1.0015,338424.0,16.3468
117,5457.013,1.0005,49037.0,111.2836
118,5380.508,1.0256,342000.0,15.7325
119,5378.857,1.0079,323802.0,16.6116
120,5047.561,1.0092,51100.0,98.7781
121,4981.42,1.0241,6220.0,800.8714
122,4974.986,1.0265,309500.0,16.0743
123,4937.374,1.0244,111369.0,44.3335
124,4882.495,1.0113,70273.0,69.479
125,4783.063,1.0082,270467.0,17.6845
126,4745.185,1.0178,622984.0,7.6169
127,4525.696,1.0274,1030700.0,4.3909
128,4246.439,1.0161,75417.0,56.3061
129,4207.083,1.0151,17818.0,236.1142
130,4130.304,0.9939,56594.0,72.9813
131,4043.263,0.9977,33846.0,119.4606
132,3996.765,0.9981,69700.0,57.3424
133,3497.117,1.0141,117600.0,29.7374
134,3461.734,1.0035,181034.0,19.122
135,3301.0,0.9939,51209.0,64.4613
136,3225.167,1.0165,1564110.0,2.062
137,2957.731,1.0019,29743.0,99.4429
138,2948.279,1.0044,10991.0,268.2448
139,2933.408,0.9753,8870.0,330.7112
140,2880.917,0.9989,28748.0,100.2128
141,2832.067,1.0173,11586.0,244.4387
142,2759.627,0.9865,65300.0,42.2608
143,2494.53,1.0186,825615.0,3.0214
144,2347.706,1.0294,10689.0,219.6376
145,2303.697,1.0208,582000.0,3.9582
146,2172.579,1.0245,267668.0,8.1167
147,2125.268,1.008,30355.0,70.0138
148,2083.459,1.0,25713.0,81.0275
149,2078.654,1.0001,20273.0,102.5331
150,1920.922,1.0245,36125.0,53.1743
151,1906.743,0.9892,64559.0,29.5349
152,1641.172,1.0368,765.0,2145.3229
153,1394.973,1.0032,5130.0,271.9246
154,1355.986,1.0347,28051.0,48.34
155,1325.648,1.0007,45227.0,29.311
156,1293.119,1.0196,14874.0,86.9382
157,1269.668,1.0017,2040.0,622.3863
158,1198.575,1.0073,9251.0,129.5617
159,1148.13,1.0105,17364.0,66.1213
160,973.56,1.0148,23200.0,41.9638
161,889.953,1.0073,18272.0,48.7058
162,888.927,1.0072,2511.0,354.0131
163,850.886,1.022,1862.0,456.9742
164,782.766,1.0048,214969.0,3.6413
165,763.092,1.0112,38394.0,19.8753
166,669.823,1.0255,28896.0,23.1805
167,640.445,1.0139,30.0,21348.1667
168,627.987,1.0001,13812.0,45.4668
169,615.729,1.0166,2586.0,238.1009
170,582.463,1.0255,266000.0,2.1897
171,581.372,1.009,163820.0,3.5488
172,549.935,1.011,4033.0,136.3588
173,530.953,1.0181,300.0,1769.8433
174,440.372,1.0027,316.0,1393.5823
175,433.285,1.0097,5765.0,75.1578
176,400.056,1.0002,1628.0,245.7346
177,390.353,1.0186,22966.0,16.997
178,389.482,1.0097,13943.0,27.9339
179,375.554,0.9992,1128.0,332.9379
180,339.031,1.0065,103000.0,3.2916
181,299.882,1.0242,12189.0,24.6027
182,290.832,1.027,83534.0,3.4816
183,287.025,1.0012,430.0,667.5
184,282.75,1.0097,18575.0,15.2221
185,279.287,1.0058,4167.0,67.0235
186,266.15,1.025,374.0,711.631
187,215.056,1.0191,964.0,223.0871
188,197.097,1.0067,2842.0,69.3515
189,182.79,1.0046,616.0,296.737
190,167.294,1.0089,549.0,304.725
191,163.424,1.0041,444.0,368.0721
192,117.606,1.0157,811.0,145.0136
193,113.815,1.0106,702.0,162.1296
194,112.003,1.0046,344.0,325.5901
195,110.589,1.0032,389.0,284.2905
196,106.314,1.0043,180.0,590.6333
197,104.578,0.9985,347.0,301.3775
198,104.494,1.0115,747.0,139.8849
199,97.739,1.0062,452.0,216.2367
200,97.118,1.0084,442.0,219.724
201,84.584,1.0053,572.0,147.8741
202,77.142,1.0016,468.0,164.8333
203,71.808,1.0025,751.0,95.6165
204,64.948,1.0119,264.0,246.0152
205,62.506,0.9964,54.0,1157.5185
206,58.791,1.0068,181.0,324.8122
207,57.216,1.006,464.0,123.3103
208,56.672,1.0017,2166086.0,0.0262
209,55.312,0.9978,199.0,277.9497
210,52.823,1.0071,261.0,202.387
211,48.678,1.0038,1393.0,34.9447
212,42.388,1.0115,34.0,1246.7059
213,38.964,1.0071,2.02,19289.1089
214,38.191,1.0138,948.0,40.2859
215,38.019,1.0029,160.0,237.6188
216,38.002,1.0175,53.0,717.0189
217,33.86,1.0021,61.0,555.082
218,33.701,0.9997,6.0,5616.8333
219,30.03,1.0067,151.0,198.8742
220,18.008,1.0048,459.0,39.2331
221,17.548,1.0009,236.0,74.3559
222,14.869,1.009,91.0,163.3956
223,11.646,1.0125,26.0,447.9231
224,11.432,0.9831,142.0,80.507
225,10.756,1.0063,21.0,512.1905
226,9.847,1.003,21.0,468.9048
227,5.822,0.9952,242.0,24.0579
228,4.989,1.0006,102.0,48.9118
229,3.377,1.0305,12173.0,0.2774
230,1.615,1.0068,260.0,6.2115
231,1.34,1.0127,12.0,111.6667
232,0.799,1.0025,0.44,1815.9091
